ipr	description
IPR023213	Chloramphenicol acetyltransferase-like domain superfamily
IPR041765	Frizzled 4, cysteine-rich domain
IPR000210	BTB/POZ domain
IPR001845	HTH ArsR-type DNA-binding domain
IPR015876	Acyl-CoA desaturase
IPR024587	Potassium channel, voltage dependent, Kv4, C-terminal
IPR024445	ISXO2-like transposase domain
IPR034158	SF3B4, RNA recognition motif 1
IPR004316	SWEET sugar transporter
IPR010582	Catalase immune-responsive domain
IPR018028	Catalase, mono-functional, haem-containing
IPR020835	Catalase superfamily
IPR008698	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7, NDUB7
IPR027777	Dynactin subunit 6
IPR004526	Glutamyl-tRNA synthetase, archaeal/eukaryotic cytosolic
IPR047107	DNA-directed RNA pol I, largest subunit, C-terminal domain
IPR012725	Chaperone DnaK
IPR047155	COMM domain-containing protein 4/6/7/8
IPR027534	Ribosomal protein L12/P1/P2 family
IPR011500	GPCR, family 3, nine cysteines domain
IPR002223	Pancreatic trypsin inhibitor Kunitz domain
IPR039866	Carboxypeptidase Q
IPR019568	Rapsyn, myristoylation/linker region, N-terminal
IPR007707	Transforming acidic coiled-coil-containing protein, C-terminal
IPR041677	DNA2/NAM7 helicase, helicase domain
IPR031727	Galactose mutarotase, N-terminal barrel
IPR013608	VWA N-terminal
IPR016357	Transferrin
IPR005956	4-hydroxyphenylpyruvate dioxygenase
IPR029162	TRP-interacting helix, InaF motif
IPR007829	TM2 domain
IPR001544	Aminotransferase class IV
IPR003565	Bis(5'-nucleosyl)-tetraphosphatase
IPR004598	Transcription factor TFIIH subunit p52/Tfb2
IPR005786	Branched-chain amino acid aminotransferase II
IPR016900	Alpha-2-glucosyltransferase Alg10
IPR033939	Branched-chain aminotransferase
IPR036038	Aminotransferase-like, PLP-dependent enzymes
IPR040662	Transcription factor Tfb2, C-terminal domain
IPR043131	Branched-chain-amino-acid aminotransferase-like, N-terminal
IPR043132	Branched-chain-amino-acid aminotransferase-like, C-terminal
IPR019355	Cell cycle regulator Mat89Bb
IPR018485	Carbohydrate kinase, FGGY, C-terminal
IPR036837	Cation efflux protein, cytoplasmic domain superfamily
IPR035837	Tyrosine-protein kinase ABL, SH2 domain
IPR019468	Adenylosuccinate lyase C-terminal
IPR012292	Globin/Protoglobin
IPR008676	MRG
IPR026541	MRG domain
IPR038217	MRG, C-terminal domain superfamily
IPR033043	FAS-associated factor 1-like, UBX domain
IPR045238	Tim23-like
IPR014854	Non-structural maintenance of chromosome element 4, C-terminal
IPR027786	Nse4/EID family
IPR035764	Ryanodine receptor, SPRY domain 2
IPR029009	Allosteric substrate binding domain superfamily
IPR047412	Forkhead box protein P1/P2, forkhead domain
IPR045801	Mitogen-activated protein kinase kinase kinase, N-terminal
IPR000961	AGC-kinase, C-terminal
IPR009457	THH1/TOM1/TOM3 domain
IPR015760	Translation initiation factor IF- 2
IPR045087	Multicopper oxidase
IPR009976	Exocyst complex component Sec10-like
IPR027156	AP-2 complex subunit sigma
IPR000074	Apolipoprotein A/E
IPR019473	Transcription factor TFIID, subunit 8, C-terminal
IPR037818	Transcription initiation factor TFIID subunit 8
IPR007940	SH3-binding 5
IPR027640	Kinesin-like protein
IPR037936	Netrin receptor UNC5
IPR017000	Membrane-anchored ubiquitin-fold protein
IPR029070	Chitinase insertion domain superfamily
IPR037034	RNA polymerase Rpb2, domain 2 superfamily
IPR026314	YLP motif-containing protein 1
IPR031933	UPF0767 family
IPR013893	Ribonuclease P protein subunit Rpp40
IPR001440	Tetratricopeptide repeat 1
IPR040177	Zinc transporter 9
IPR026823	Complement Clr-like EGF domain
IPR006028	Gamma-aminobutyric acid A receptor/Glycine receptor alpha
IPR031852	Spindle pole body-associated protein Vik1/Cik1, microtubule binding domain
IPR041667	Cupin-like domain 8
IPR039787	Poly(U)-specific endoribonuclease
IPR007513	Small EDRK-rich factor-like, N-terminal
IPR012493	Renin receptor-like
IPR016125	Peptidase C15, pyroglutamyl peptidase I-like
IPR036440	Peptidase C15, pyroglutamyl peptidase I-like superfamily
IPR015422	Pyridoxal phosphate-dependent transferase, small domain
IPR047548	E3 ubiquitin-protein ligase RNF14, Rcat domain
IPR026742	Centrosomal protein kizuna
IPR013197	RNA polymerase III subunit RPC82-related, helix-turn-helix
IPR006011	Syntaxin, N-terminal domain
IPR009011	Mannose-6-phosphate receptor binding domain superfamily
IPR007657	Glycosyltransferase 61
IPR031827	Domain of unknown function DUF4746
IPR039879	EF-hand calcium-binding domain-containing protein 10
IPR001372	Dynein light chain, type 1/2
IPR002331	Pancreatic lipase
IPR005016	Serine incorporator/TMS membrane protein
IPR040434	tRNA selenocysteine 1-associated protein 1
IPR036273	CRAL/TRIO, N-terminal domain superfamily
IPR019539	Galactokinase, N-terminal domain
IPR019554	Soluble ligand binding domain
IPR002857	Zinc finger, CXXC-type
IPR013341	Mandelate racemase/muconate lactonizing enzyme, N-terminal domain
IPR007852	Cdc73/Parafibromin
IPR031336	Cell division control protein 73, C-terminal
IPR038103	Cell division control protein 73, C-terminal domain superfamily
IPR010562	Haemolymph juvenile hormone binding
IPR021613	Protein-tyrosine phosphatase receptor IA-2 ectodomain
IPR038112	Protein-tyrosine phosphatase receptor IA-2, ectodomain superfamily
IPR045626	D-3-phosphoglycerate dehydrogenase, ASB domain
IPR038606	Takeout superfamily
IPR019393	WASH complex, subunit strumpellin
IPR044492	P-type ATPase, haloacid dehalogenase domain
IPR040546	Rege-1, UBA-like domain
IPR004826	Basic leucine zipper domain, Maf-type
IPR011583	Chitinase II
IPR025398	Domain of unknown function DUF4371
IPR003649	B-box, C-terminal
IPR028887	Molybdopterin synthase sulfur carrier subunit, eukaryote
IPR036947	POLO box domain superfamily
IPR041355	Pre-SET CXC domain
IPR041515	PPAF-2-like, Clip domain
IPR005794	Methionyl-tRNA formyltransferase
IPR041711	Methionyl-tRNA formyltransferase, N-terminal domain
IPR003616	Post-SET domain
IPR022214	Mitotic-spindle organizing protein 1
IPR035808	Ribosomal protein L7, eukaryotic/archaeal
IPR039699	Ribosomal protein L7/L30
IPR000615	Bestrophin
IPR021134	Bestrophin/UPF0187
IPR000331	Rap/Ran-GAP domain
IPR035914	Spermadhesin, CUB domain superfamily
IPR029302	Intraflagellar transport protein 43
IPR001774	Delta/Serrate/lag-2 (DSL) protein
IPR041294	Ankyrin ubiquitin-binding domain
IPR019138	De-etiolated protein 1, Det1
IPR037720	Ferlin, second C2 domain
IPR044428	SETD3, SET domain
IPR013151	Immunoglobulin
IPR042012	PHF7/G2E3, PHD domain
IPR032011	Domain of unknown function DUF4794
IPR036424	Decaprenyl diphosphate synthase-like superfamily
IPR018860	Anaphase-promoting complex, subunit CDC26
IPR038551	Ribosomal protein S26e superfamily
IPR041147	Glycosyl hydrolases family 38, C-terminal beta sandwich domain
IPR047358	Polycomb protein Sfmbt, first MBT repeat
IPR008211	Laminin, N-terminal
IPR000889	Glutathione peroxidase
IPR006761	Twisted gastrulation (Tsg) protein
IPR036508	Chitin binding domain superfamily
IPR003410	HYR domain
IPR044076	Ribosomal protein P2
IPR041751	PP2B, metallophosphatase domain
IPR025663	A-kinase anchor protein 28kDa
IPR005549	Kinetochore protein Nuf2, N-terminal
IPR038275	Nuf2, N-terminal domain superfamily
IPR003156	DHHA1 domain
IPR003923	Transcription initiation factor TFIID, 23-30kDa subunit
IPR016558	DNA primase, large subunit, eukaryotic
IPR019013	Vacuolar ATPase assembly integral membrane protein Vma21
IPR039878	RNA-binding protein 33
IPR032473	Protein argonaute, Mid domain
IPR000305	GIY-YIG endonuclease
IPR003293	Nudix hydrolase 6-like
IPR040618	Pre-nudix hydrolase domain
IPR028039	Coiled-coil domain containing protein 32
IPR039801	Epidermal growth factor receptor kinase substrate 8-like
IPR028587	Adenylate kinase 2
IPR031973	Deltamethrin resistance protein prag01
IPR028896	Aminomethyltransferase-like
IPR039726	Pre-mRNA-processing factor Prp40
IPR013892	Cytochrome c oxidase biogenesis protein Cmc1-like
IPR022773	Siva
IPR040251	Protein transport protein SEC31-like
IPR042533	Nucleoporin, Nup155-like, C-terminal, subdomain 1
IPR042537	Nucleoporin, Nup155-like, C-terminal, subdomain 2
IPR042538	Nucleoporin, Nup155-like, C-terminal, subdomain 3
IPR039210	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3
IPR034781	Scaffold attachment factor B1/2, RNA binding domain
IPR027973	Protein of unknown function DUF4602
IPR006046	Alpha amylase
IPR003949	Potassium channel, voltage-dependent, EAG
IPR045663	Origin recognition complex subunit 3, insertion domain
IPR031578	Na+ channel auxiliary subunit TipE
IPR006633	Carbohydrate-binding/sugar hydrolysis domain
IPR007742	Periplasmic copper-binding protein NosD, beta helix domain
IPR022441	Parallel beta-helix repeat-2
IPR034870	TAF15/EWS/TLS family
IPR029391	COP9 signalosome complex, subunit 9, metazoa
IPR005635	Inner centromere protein, ARK-binding domain
IPR013761	Sterile alpha motif/pointed domain superfamily
IPR014939	CDT1 Geminin-binding domain-like
IPR001610	PAC motif
IPR036865	CRAL-TRIO lipid binding domain superfamily
IPR005999	Glycerol kinase
IPR028592	Queuine tRNA-ribosyltransferase accessory subunit QTRTD1
IPR002672	Ribosomal protein L28e
IPR002912	ACT domain
IPR016656	Transcription initiation factor TFIIE, beta subunit
IPR040501	TFA2, Winged helix domain 2
IPR025696	rRNA-processing arch domain
IPR032440	40S ribosomal protein S11, N-terminal
IPR032630	P-type ATPase, C-terminal
IPR001496	SOCS box domain
IPR013121	Ferric reductase, NAD binding domain
IPR030672	Adenylate cyclase
IPR006802	Radial spokehead-like protein
IPR016208	Aldehyde oxidase/xanthine dehydrogenase
IPR006730	Sestrin
IPR029032	AhpD-like
IPR036366	PGBD superfamily
IPR019354	Nonsense-mediated mRNA decay factor SMG8/SMG9
IPR011274	Malate dehydrogenase, NAD-dependent, cytosolic
IPR023270	tRNA (C5-cytosine) methyltransferase, NCL1
IPR012227	TNF receptor-associated factor TRAF, metazoa
IPR008521	Magnesium transporter NIPA
IPR013806	Kringle-like fold
IPR038178	Kringle superfamily
IPR009401	Mediator complex subunit Med13, C-terminal
IPR041285	MID domain of medPIWI
IPR006095	Glutamate/phenylalanine/leucine/valine dehydrogenase
IPR003117	cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain
IPR037397	Reticulon-4-interacting protein 1
IPR002557	Chitin binding domain
IPR031542	Cation channel complex component UNC80, N-terminal
IPR013699	Signal recognition particle, SRP72 subunit, RNA-binding
IPR026270	Signal recognition particle, SRP72 subunit
IPR031545	Putative TPR-like repeat
IPR045148	Transcription elongation regulator 1-like
IPR039988	Microsomal triglyceride transfer protein large subunit
IPR045811	MTP large subunit, lipid-binding domain
IPR026054	Nuclear pore complex protein
IPR032199	RecQ-mediated genome instability protein 1, C-terminal OB-fold domain
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR038738	Nedd8-like ubiquitin
IPR002931	Transglutaminase-like
IPR038205	Protein inscuteable homologue, LGN-binding domain superfamily
IPR018611	E3 UFM1-protein ligase 1
IPR002208	SecY/SEC61-alpha family
IPR023201	SecY domain superfamily
IPR004868	DNA-directed DNA polymerase, family B, mitochondria/virus
IPR040032	DENN domain-containing protein 1A/1B/1C
IPR012265	Protein-tyrosine phosphatase, non-receptor type-1/2
IPR039746	FOG family
IPR031720	Protein of unknown function DUF4728
IPR019334	Transmembrane protein 170
IPR004210	BESS motif
IPR042797	Glutaredoxin domain-containing cysteine-rich protein 1
IPR021718	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
IPR044638	Aldehyde dehydrogenase family 7 member A1-like
IPR019585	26S proteasome regulatory subunit Rpn7/COP9 signalosome complex subunit 1
IPR000692	rRNA 2'-O-methyltransferase fibrillarin-like
IPR027540	Ubiquinone biosynthesis protein Coq4, eukaryotic
IPR037922	E3 ubiquitin-protein ligase MSL2
IPR030844	PAN2-PAN3 deadenylation complex subunit PAN3
IPR041332	Pan3 pseudokinase domain
IPR004046	Glutathione S-transferase, C-terminal
IPR043408	IQ domain-containing protein K
IPR044822	Myb/SANT-like DNA-binding domain 4
IPR039959	Fimbrin/Plastin
IPR020568	Ribosomal protein S5 domain 2-type fold
IPR027359	Voltage-dependent channel domain superfamily
IPR041086	YAP binding domain
IPR001236	Lactate/malate dehydrogenase, N-terminal
IPR006578	MADF domain
IPR006285	Ubiquitin-like modifier-activating enzyme Atg7
IPR031600	Domain of unknown function DUF4706
IPR042523	Ubiquitin-like modifier-activating enzyme Atg7, N-terminal, subdomain 2
IPR045028	Helicase superfamily 1/2, DinG/Rad3-like
IPR008859	Thrombospondin, C-terminal
IPR000734	Triacylglycerol lipase family
IPR007856	Saposin-like type B, region 1
IPR039974	Pre-mRNA-splicing factor SLU7
IPR013818	Lipase
IPR036910	High mobility group box domain superfamily
IPR014812	Vacuolar protein sorting-associated protein 51
IPR037165	Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily
IPR025640	GYF domain 2
IPR045802	DnaJ homologue subfamily C, GRV2/DNAJC13, N-terminal domain
IPR002934	Polymerase, nucleotidyl transferase domain
IPR047553	BICC1, third type I KH domain
IPR006968	Root UVB sensitive family
IPR034998	Ankyrin repeat and LEM domain-containing protein 1
IPR045840	Ariadne domain
IPR045799	TBC1 domain family member 23, C-terminal domain
IPR007865	Aminopeptidase P, N-terminal
IPR027107	Tuberin/Ral GTPase-activating protein subunit alpha
IPR036645	Elafin-like superfamily
IPR043407	Nkap domain containing 1
IPR039353	Transcription factor Adf-1
IPR041575	NADH-rubredoxin oxidoreductase, C-terminal
IPR029195	Host cell factor C1 regulator 1
IPR019082	Neurogenic mastermind-like, N-terminal
IPR046370	Neurogenic mastermind-like, N-terminal domain superfamily
IPR034068	Sperm-associated antigen 7, R3H domain
IPR026794	Adipose-secreted signaling protein
IPR033865	Machado-Joseph disease protein
IPR007021	Domain of unknown function DUF659
IPR006758	Poxvirus A32
IPR008806	RNA polymerase III Rpc82, C -terminal
IPR019401	Zinc finger, CHCC-type
IPR039748	DNA-directed RNA polymerase III subunit RPC3
IPR004365	OB-fold nucleic acid binding domain, AA-tRNA synthetase-type
IPR036083	Class III myosin, motor domain
IPR035649	EFG, domain V
IPR007238	DNA primase large subunit, eukaryotic/archaeal
IPR027794	tRNase Z endonuclease
IPR018628	Cytochrome c oxidase assembly factor 3, mitochondrial, coiled-coil domain
IPR045088	Aminotransferase ALAT1/2-like
IPR006282	Thiamin pyrophosphokinase
IPR005282	Lysosomal cystine transporter
IPR026502	Histone RNA stem-loop-binding protein SLBP1/SLBP2
IPR029344	Histone RNA hairpin-binding protein, RNA-binding domain
IPR038294	SLBP, RNA-binding domain superfamily
IPR000928	SNAP-25 domain
IPR008417	B-cell receptor-associated protein 29/31
IPR041672	Bap31/Bap29 cytoplasmic coiled-coil domain
IPR039906	Nuclear anchorage protein 1-like
IPR047278	DENN domain-containing protein 5A/B
IPR002336	Erythrocruorin
IPR032054	DNA replication factor Cdt1, C-terminal
IPR038090	DNA replication factor Cdt1, C-terminal WH domain superfamily
IPR033723	PET prickle
IPR000276	G protein-coupled receptor, rhodopsin-like
IPR046867	Aldehyde oxidase/xanthine dehydrogenase, second molybdopterin binding domain
IPR040745	Ankyrin, UPA domain
IPR031814	ALG11 mannosyltransferase, N-terminal
IPR042855	v-SNARE, coiled-coil homology domain
IPR047241	Kinesin-like protein KIF11-like, kinesin motor domain
IPR039870	Cytochrome oxidase assembly factor 4-like
IPR006579	Pre-C2HC domain
IPR044109	cAMP-dependent protein kinase catalytic subunit
IPR024822	Coilin
IPR024933	Septin and tuftelin interacting protein
IPR013604	7TM chemoreceptor
IPR041309	TANK-binding kinase 1, coiled-coil domain 1
IPR044897	Inositol polyphosphate 1-phosphatase, domain 1
IPR032135	Helix-turn-helix domain (DUF4817)
IPR001314	Peptidase S1A, chymotrypsin family
IPR019148	Nuclear protein DGCR14/ESS-2
IPR018487	Hemopexin-like repeats
IPR000885	Fibrillar collagen, C-terminal
IPR004184	Pyruvate formate lyase domain
IPR006558	LamG-like jellyroll fold
IPR008164	Repeat of unknown function XGLTT
IPR024146	Claspin
IPR026206	HAUS augmin-like complex subunit 3
IPR011949	HAD-superfamily hydrolase, subfamily IA, REG-2-like
IPR044924	HAD-superfamily hydrolase, subfamily IA, REG-2-like, capping domain superfamily
IPR028055	Membrane insertase YidC/Oxa/ALB, C-terminal
IPR045605	3-ketosteroid-9-alpha-monooxygenase, oxygenase component-like, C-terminal domain
IPR004100	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
IPR022764	Peptidase S54, rhomboid domain
IPR044235	RING finger and transmembrane domain-containing protein 1/2
IPR002164	Nucleosome assembly protein (NAP)
IPR037231	NAP-like superfamily
IPR023600	Folylpolyglutamate synthase, eukaryota
IPR000697	WH1/EVH1 domain
IPR005172	CRC domain
IPR018955	Branched-chain alpha-ketoacid dehydrogenase kinase/Pyruvate dehydrogenase kinase, N-terminal
IPR036784	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain superfamily
IPR039028	PDK/BCKDK protein kinase
IPR021394	Mediator complex, subunit Med25, PTOV domain
IPR038196	Mediator complex subunit 25, PTOV domain superfamily
IPR019520	Ribosomal protein S23, mitochondrial
IPR023611	Ribosomal protein S23, mitochondrial, conserved domain
IPR010760	DNA repair protein, Swi5
IPR029479	Nitroreductase
IPR004133	DAN
IPR011037	Pyruvate kinase-like, insert domain superfamily
IPR002472	Palmitoyl protein thioesterase
IPR001135	NADH-quinone oxidoreductase, subunit D
IPR022885	NAD(P)H-quinone oxidoreductase subunit D/H
IPR029014	[NiFe]-hydrogenase, large subunit
IPR002618	UDPGP family
IPR005336	Mitochondrial pyruvate carrier
IPR011893	Selenoprotein, Rdx-type
IPR026507	Piercer of microtubule wall 1/2
IPR035974	Rap/Ran-GAP superfamily
IPR010059	Uridine phosphorylase, eukaryotic
IPR009224	SAMP
IPR001569	Ribosomal protein L37e
IPR019607	Putative zinc-finger domain
IPR036772	SRCR-like domain superfamily
IPR013632	DNA recombination and repair protein Rad51-like, C-terminal
IPR013284	Beta-catenin
IPR008656	Inositol-tetrakisphosphate 1-kinase
IPR019381	Phosphofurin acidic cluster sorting protein 1
IPR038633	Proteasomal ubiquitin receptor Rpn13/ADRM1, Pru domain superfamily
IPR044868	Rpn13/ADRM1, Pru domain
